T,TraceA,P/T^4,E/T^4,s/T^3,Cv/T^3,cs^2
0.155,2.43,0.726,4.61,5.34,36.2,0.148
0.160,2.76,0.808,5.19,6.00,39.3,0.153
0.165,3.07,0.898,5.76,6.66,41.8,0.159
0.170,3.34,0.994,6.32,7.32,43.8,0.167
0.175,3.56,1.094,6.85,7.94,45.2,0.176
0.180,3.74,1.197,7.33,8.53,46.2,0.185
0.185,3.88,1.302,7.78,9.08,47.0,0.194
0.190,3.97,1.406,8.19,9.60,47.5,0.202
0.195,4.03,1.510,8.56,10.07,47.9,0.210
0.200,4.05,1.613,8.89,10.50,48.1,0.218
0.205,4.05,1.713,9.19,10.90,48.4,0.225
0.210,4.03,1.810,9.46,11.27,48.6,0.232
0.215,3.99,1.904,9.70,11.61,48.8,0.238
0.220,3.94,1.995,9.93,11.92,49.1,0.243
0.225,3.88,2.083,10.13,12.21,49.4,0.247
0.230,3.82,2.168,10.32,12.49,49.8,0.251
0.235,3.76,2.249,10.50,12.75,50.3,0.254
0.240,3.69,2.328,10.68,13.00,50.7,0.256
0.245,3.63,2.403,10.84,13.24,51.1,0.259
0.250,3.57,2.476,10.99,13.47,51.5,0.261
0.255,3.50,2.546,11.14,13.68,51.9,0.264
0.260,3.44,2.613,11.28,13.89,52.2,0.266
0.265,3.38,2.678,11.41,14.09,52.5,0.268
0.270,3.32,2.741,11.54,14.28,52.8,0.270
0.275,3.26,2.801,11.66,14.46,53.1,0.272
0.280,3.20,2.859,11.77,14.63,53.3,0.274
0.285,3.14,2.915,11.88,14.80,53.6,0.276
0.290,3.08,2.969,11.99,14.95,53.8,0.278
0.295,3.02,3.021,12.08,15.11,54.0,0.280
0.300,2.96,3.072,12.18,15.25,54.2,0.282
0.305,2.91,3.120,12.27,15.39,54.3,0.283
0.310,2.85,3.167,12.35,15.52,54.5,0.285
0.315,2.79,3.212,12.43,15.64,54.6,0.286
0.320,2.74,3.256,12.51,15.76,54.8,0.288
0.325,2.69,3.298,12.58,15.88,54.9,0.289
0.330,2.63,3.338,12.65,15.99,55.0,0.291
0.335,2.58,3.377,12.71,16.09,55.1,0.292
0.340,2.53,3.415,12.78,16.19,55.2,0.293
0.345,2.48,3.452,12.83,16.29,55.3,0.294
0.350,2.43,3.487,12.89,16.38,55.4,0.296
0.355,2.38,3.521,12.94,16.47,55.5,0.297
0.360,2.33,3.554,13.00,16.55,55.6,0.298
0.365,2.29,3.586,13.04,16.63,55.7,0.299
0.370,2.24,3.617,13.09,16.71,55.8,0.300
0.375,2.20,3.647,13.14,16.78,55.8,0.301
0.380,2.15,3.675,13.18,16.85,55.9,0.302
0.385,2.11,3.703,13.22,16.92,56.0,0.302
0.390,2.07,3.730,13.26,16.99,56.1,0.303
0.395,2.03,3.756,13.30,17.05,56.2,0.304
0.400,1.99,3.782,13.34,17.12,56.2,0.304
